suite,run,run_label,group,privileged_state_feedback,input_mode,target_or_request,selected_target,semantic_alignment,execution_success,final_distance,steps,runtime_s,vlm_requests,raw_log_id
Unmodified controller,1,run_01,unmodified reproduction,no,,,,confirmed,False,0.21724876761436462,12.0,33.098472595214844,0.0,full_rerun_original_compare_20260606_170225_baseline_final_2026-06-06_17-31-37
Unmodified controller,2,run_02,unmodified reproduction,no,,,,confirmed,False,0.24376213550567627,12.0,62.066288471221924,0.0,full_rerun_original_compare_20260606_170225_improved_final_2026-06-06_17-32-19
Unmodified controller,3,run_03,unmodified reproduction,no,,,,confirmed,False,0.28250744938850403,12.0,50.785797357559204,0.0,full_rerun_original_compare_20260606_170225_literature_final_2026-06-06_17-33-30
Unmodified controller,4,run_04,unmodified reproduction,no,,,,confirmed,False,0.28250744938850403,12.0,49.52965068817139,0.0,full_rerun_original_compare_20260606_170225_literature_v2_final_2026-06-06_17-34-30
Unmodified ablation,1,run_01,unmodified reproduction,no,,,,confirmed,False,0.22268067300319672,10.0,28.158029317855835,0.0,full_rerun_original_ablation_20260606_170225_budget_pf1_ns5_2026-06-06_17-37-22
Unmodified ablation,2,run_02,unmodified reproduction,no,,,,confirmed,False,0.25016042590141296,10.0,18.708367586135864,0.0,full_rerun_original_ablation_20260606_170225_budget_pf2_ns5_2026-06-06_17-38-00
Unmodified ablation,3,run_03,unmodified reproduction,no,,,,confirmed,False,0.21625159680843353,10.0,27.64548373222351,0.0,full_rerun_original_ablation_20260606_170225_budget_pf2_ns10_2026-06-06_17-38-27
Unmodified ablation,4,run_04,unmodified reproduction,no,,,,confirmed,False,0.22542613744735718,10.0,23.682191848754883,0.0,full_rerun_original_ablation_20260606_170225_budget_pf3_ns10_2026-06-06_17-39-03
Unmodified ablation,5,run_05,unmodified reproduction,no,,,,confirmed,False,0.29388734698295593,10.0,36.35844278335571,0.0,full_rerun_original_ablation_20260606_170225_budget_pf2_ns15_2026-06-06_17-39-34
Unmodified ablation,6,run_06,unmodified reproduction,no,,,,confirmed,False,0.25349071621894836,10.0,43.00298595428467,0.0,full_rerun_original_ablation_20260606_170225_cost_history_low_2026-06-06_17-40-20
Unmodified ablation,7,run_07,unmodified reproduction,no,,,,confirmed,False,0.28251415491104126,10.0,43.001420974731445,0.0,full_rerun_original_ablation_20260606_170225_cost_default_2026-06-06_17-41-11
Unmodified ablation,8,run_08,unmodified reproduction,no,,,,confirmed,False,0.28251415491104126,10.0,34.49213123321533,0.0,full_rerun_original_ablation_20260606_170225_cost_target_high_2026-06-06_17-42-03
Grounded controller,1,baseline_grounded,feedback-assisted diagnostics,yes,grounded_controller_comparison,,,confirmed,True,0.06426556408405304,23.0,64.88430309295654,0.0,grounded_original_complete_20260606_grounded_controller_comparison_baseline_grounded_2026-06-06_21-59-39
Grounded controller,2,improved_grounded,feedback-assisted diagnostics,yes,grounded_controller_comparison,,,confirmed,True,0.06426556408405304,23.0,85.15553021430969,0.0,grounded_original_complete_20260606_grounded_controller_comparison_improved_grounded_2026-06-06_22-00-56
Grounded controller,3,literature_grounded,feedback-assisted diagnostics,yes,grounded_controller_comparison,,,confirmed,True,0.06426556408405304,23.0,86.72254824638367,0.0,grounded_original_complete_20260606_grounded_controller_comparison_literature_grounded_2026-06-06_22-02-34
Grounded controller,4,literature_v2_grounded,feedback-assisted diagnostics,yes,grounded_controller_comparison,,,confirmed,True,0.06426556408405304,23.0,87.61486577987671,0.0,grounded_original_complete_20260606_grounded_controller_comparison_literature_v2_grounded_2026-06-06_22-04-13
Grounded ablation,1,budget_pf1_ns5,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,95.31155562400818,0.0,grounded_original_complete_20260606_grounded_original_ablation_budget_pf1_ns5_2026-06-06_22-05-54
Grounded ablation,2,budget_pf2_ns5,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,65.06281852722168,0.0,grounded_original_complete_20260606_grounded_original_ablation_budget_pf2_ns5_2026-06-06_22-07-43
Grounded ablation,3,budget_pf2_ns10,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,86.28378248214722,0.0,grounded_original_complete_20260606_grounded_original_ablation_budget_pf2_ns10_2026-06-06_22-09-00
Grounded ablation,4,budget_pf3_ns10,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,68.96832370758057,0.0,grounded_original_complete_20260606_grounded_original_ablation_budget_pf3_ns10_2026-06-06_22-10-40
Grounded ablation,5,budget_pf2_ns15,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,118.97593522071838,0.0,grounded_original_complete_20260606_grounded_original_ablation_budget_pf2_ns15_2026-06-06_22-12-02
Grounded ablation,6,cost_history_low,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,140.86733102798462,0.0,grounded_original_complete_20260606_grounded_original_ablation_cost_history_low_2026-06-06_22-14-19
Grounded ablation,7,cost_default,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,117.89043307304382,0.0,grounded_original_complete_20260606_grounded_original_ablation_cost_default_2026-06-06_22-16-55
Grounded ablation,8,cost_target_high,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,118.11150479316711,0.0,grounded_original_complete_20260606_grounded_original_ablation_cost_target_high_2026-06-06_22-19-03
Event re-query,1,tracking_unstable_live_vlm_r,feedback-assisted diagnostics,yes,grounded_event_requery,,,confirmed,True,0.06426556408405304,23.0,116.48612475395203,2.0,grounded_original_event_requery_2026-06-06_21-50-40
